"","IncNodePurity","IncNodePurity"
"MaxStemHeight_m",9.77919503580972,6.56474844219183
"AverageFruitLength_cm",7.35739976358779,5.15733298013905
"Acaulescent",8.7804215995036,4.48062125208554
"Erect",7.59013888150521,4.81141747070754
