TaxonID,Family,Genus,Species,MammalName,Mass,FillMass
139,BOVIDAE,Antilope,cervicapra,Antilope cervicapra,37500,0
141,BOVIDAE,Arabitragus,jayakari,Arabitragus jayakari,23000,0
143,BOVIDAE,Beatragus,hunteri,Beatragus hunteri,80000.002,0
145,BOVIDAE,Bison,bison,Bison bison,579255.278,0
146,BOVIDAE,Bison,bonasus,Bison bonasus,5.00E+05,0
148,BOVIDAE,Bos,gaurus,Bos gaurus,750000,1
149,BOVIDAE,Bos,javanicus,Bos javanicus,7.00E+05,0
150,BOVIDAE,Bos,mutus,Bos mutus,750000,1
151,BOVIDAE,Bos,primigenius,Bos primigenius,750000,1
152,BOVIDAE,Bos,sauveli,Bos sauveli,8.00E+05,0
154,BOVIDAE,Boselaphus,tragocamelus,Boselaphus tragocamelus,169000,0
156,BOVIDAE,Bubalus,arnee,Bubalus arnee,227777.7777,1
157,BOVIDAE,Bubalus,depressicornis,Bubalus depressicornis,3.00E+05,0
158,BOVIDAE,Bubalus,mindorensis,Bubalus mindorensis,233333.333,0
159,BOVIDAE,Bubalus,quarlesi,Bubalus quarlesi,150000,0
161,BOVIDAE,Budorcas,taxicolor,Budorcas taxicolor,302000,0
163,BOVIDAE,Capra,aegagrus,Capra aegagrus,71723.91844,1
164,BOVIDAE,Capra,caucasica,Capra caucasica,55000,0
165,BOVIDAE,Capra,cylindricornis,Capra cylindricornis,50000,0
166,BOVIDAE,Capra,falconeri,Capra falconeri,41000,0
167,BOVIDAE,Capra,ibex,Capra ibex,85166.507,0
168,BOVIDAE,Capra,nubiana,Capra nubiana,62624.8405,0
169,BOVIDAE,Capra,pyrenaica,Capra pyrenaica,50000,0
170,BOVIDAE,Capra,sibirica,Capra sibirica,130000,0
171,BOVIDAE,Capra,walie,Capra walie,1.00E+05,0
173,BOVIDAE,Capricornis,crispus,Capricornis crispus,-9999,0
174,BOVIDAE,Capricornis,milneedwardsii,Capricornis milneedwardsii,-9999,0
