referenceKey,FinalRelevance,Year,Author,Title,Journal,DOI
9BV5AQXD,YES,2015,"Aliaga-Rossel, Enzo; Fragoso, Jose Manuel",Defaunation Affects Astrocaryum Gratum (arecales: Arecaceae) Seed Survivorship in A Sub-montane Tropical Forest,Revista De Biologia Tropical,
F2QZTZ97,YES,2014,"Rodriguez, Marta; Delibes, Miguel; Fedriani, Jose Ma",Hierarchical Levels of Seed Predation Variation by Introduced Beetles On An Endemic Mediterranean Palm,Plos One,10.1371/journal.pone.0109867
4FC3NET4,YES,2014,"Ottewell, Kym",The Ornaments of Life: Coevolution and Conservation in the Tropics,Journal of Field Ornithology,
88CKBQ8M,YES,2014,"Palmer, Rosa R.; Koprowski, John L.",Feeding Behavior and Activity Patterns of Amazon Red Squirrels,Mammalia,10.1515/mammalia-2013-0083
I8VEAQ3Z,YES,2014,"Quintela, Fernando M.; Iob, Graziela; Artioli, Luiz G. S.","Diet of Procyon Cancrivorus (carnivora, Procyonidae) in Restinga and Estuarine Environments of Southern Brazil",Iheringia Serie Zoologia,10.1590/1678-476620141042143149
ZRDKEIW7,YES,2014,"Santos, A. A.; Ragusa-Netto, J.","Plant Food Resources Exploited by Blue-and-yellow Macaws (ara Ararauna, Linnaeus 1758) at An Urban Area in Central Brazil",Brazilian Journal of Biology,10.1590/1519-6984.27312
7WM4EMVH,YES,2014,"Sorio, Valdete Ferreira; Damasceno-Junior, Geraldo Alves; Parolin, Pia",Dispersal of Palm Seeds (bactris Glaucescens Drude) by the Fish Piaractus Mesopotamicus in the Brazilian Pantanal,Ecotropica,
SIQKHW37,YES,2013,"Myers, Ronald L.","Predation, Removal and Seed Dispersal in A Wetland Dominated by Palms (arecaceae).",Revista De Biologia Tropical,
P7EDA2HI,YES,2013,"Cid, Bruno; Oliveira-Santos, Luiz Gustavo R.; Mourao, Guilherme",Seasonal Habitat Use of Agoutis (dasyprocta Azarae) Is Driven by the Palm Attalea Phalerata in Brazilian Pantanal,Biotropica,10.1111/btp.12012
EIIAZXGU,YES,2013,"Scherbaum, Carmen; Estrada, Alejandro","Selectivity in Feeding Preferences and Ranging Patterns in Spider Monkeys Ateles Geoffroyi Yucatanensis of Northeastern Yucatan Peninsula, Mexico",Current Zoology,
C44TQWXE,YES,2012,"Scofield, Douglas G.; Smouse, Peter E.; Karubian, Jordan; Sork, Victoria L.","Use of Alpha, Beta, and Gamma Diversity Measures To Characterize Seed Dispersal by Animals",American Naturalist,10.1086/668202
XRUQKW58,YES,2012,"Hirsch, Ben T.; Kays, Roland; Pereira, Veronica E.; Jansen, Patrick A.",Directed Seed Dispersal Towards Areas With Low Conspecific Tree Density by A Scatter-hoarding Rodent,Ecology Letters,10.1111/ele.12000
RBCSHHF3,YES,2012,"Leite, Abraao de Barros; Brancalion, Pedro H. S.; Guevara, Roger; Galetti, Mauro",Differential Seed Germination of A Keystone Palm (euterpe Edulis) Dispersed by Avian Frugivores,Journal of Tropical Ecology,10.1017/S0266467412000594
ZT9EFWKJ,YES,2012,"Shapcott, Alison; Quinn, Jane; Rakotoarinivo, Mijoro; Dransfield, John","Contrasting Patterns of Genetic Diversity Between Two Endangered Palms With Overlapping Distributions, Voanioala Gerardii (arecoideae) and Lemurophoenix Halleuxii (arecoideae), From North-east Madagascar",Conservation Genetics,10.1007/s10592-012-0382-6
XXJH2X35,YES,2012,"Jansen, Patrick A.; Hirsch, Ben T.; Emsens, Willem-Jan; Zamora-Gutierrez, Veronica; Wikelski, Martin; Kays, Roland",Thieving Rodents As Substitute Dispersers of Megafaunal Seeds,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1205184109
M75M6FNA,YES,2012,"Hirsch, Ben T.; Kays, Roland; Jansen, Patrick A.",A Telemetric Thread Tag for  Tracking Seed Dispersal by Scatter-hoarding Rodents,Plant Ecology,10.1007/s11258-012-0054-0
Q2V6T7ZS,YES,2012,"Hirsch, Ben T.; Visser, Marco D.; Kays, Roland; Jansen, Patrick A.",Quantifying Seed Dispersal Kernels From Truncated Seed-tracking Data,Methods in Ecology and Evolution,10.1111/j.2041-210X.2011.00183.x
SWUEMCD3,YES,2012,"Prada Villalobos, Manrique; Araujo Bagno, Marcelo",Avian Frugivores Feeding On Mauritia Flexuosa (arecaceae) Fruits in Central Brazil,Revista Brasileira De Ornitologia,
