PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Allagoptera arenaria,Trinomys iheringi,MAMMAL,Echimyidae,Neotropics,Allagoptera arenaria_Trinomys iheringi,1,203.498,1.6,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera campestris,Chrysocyon brachyurus,MAMMAL,Canidae,Neotropics,Allagoptera campestris_Chrysocyon brachyurus,1,23249.842,1.35,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Allagoptera caudescens,Sciurus ingrami,MAMMAL,Sciuridae,Neotropics,Allagoptera caudescens_Sciurus ingrami,1,184.999,4.25,Cocoseae,Arecoideae,BRAZIL,BZL,W728GHWV
Aphandra natalia,Dasyprocta fuliginosa,MAMMAL,Dasyproctidae,Neotropics,Aphandra natalia_Dasyprocta fuliginosa,1,3500.016,4.75,Phytelepheae,Ceroxyloideae,NA,NA,FAIRCHILD
Aphandra natalia,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Aphandra natalia_Sciurus granatensis,1,250,4.75,Phytelepheae,Ceroxyloideae,NA,NA,FAIRCHILD
Archontophoenix cunninghamiana,Brotogeris chiriri,BIRDS,Psittacidae,Neotropics,Archontophoenix cunninghamiana_Brotogeris chiriri,1,61.6,1.25,Areceae,Arecoideae,NA,BZL,KDCQJ6PB
Archontophoenix cunninghamiana,Pitangus sulphuratus,BIRDS,Tyrannidae,Neotropics,Archontophoenix cunninghamiana_Pitangus sulphuratus,1,62.85,1.25,Areceae,Arecoideae,NA,BZL,KDCQJ6PB
Archontophoenix cunninghamiana,Saltator similis,BIRDS,Cardinalidae,Neotropics,Archontophoenix cunninghamiana_Saltator similis,1,43.3,1.25,Areceae,Arecoideae,NA,BZL,KDCQJ6PB
Archontophoenix cunninghamiana,Salvator merianae,REPTILES,Teiidae,Neotropics,Archontophoenix cunninghamiana_Salvator merianae,1,7500,1.25,Areceae,Arecoideae,NA,BZL,RX9KZ5AH
Archontophoenix cunninghamiana,Thraupis sayaca,BIRDS,Thraupidae,Neotropics,Archontophoenix cunninghamiana_Thraupis sayaca,1,32.49,1.25,Areceae,Arecoideae,NA,BZL,KDCQJ6PB
Archontophoenix cunninghamiana,Turdus leucomelas,BIRDS,Turdidae,Neotropics,Archontophoenix cunninghamiana_Turdus leucomelas,1,69.1,1.25,Areceae,Arecoideae,NA,BZL,KDCQJ6PB
Archontophoenix cunninghamiana,Turdus rufiventris,BIRDS,Turdidae,Neotropics,Archontophoenix cunninghamiana_Turdus rufiventris,1,69.44,1.25,Areceae,Arecoideae,NA,BZL,KDCQJ6PB
Astrocaryum aculeatissimum,Cerdocyon thous,MAMMAL,Canidae,Neotropics,Astrocaryum aculeatissimum_Cerdocyon thous,1,5239.984,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatissimum,Cuniculus paca,MAMMAL,Cuniculidae,Neotropics,Astrocaryum aculeatissimum_Cuniculus paca,0,8000,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatissimum,Cuniculus paca,MAMMAL,Cuniculidae,Neotropics,Astrocaryum aculeatissimum_Cuniculus paca,1,8000,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,SW6IINCS
Astrocaryum aculeatissimum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatissimum_Dasyprocta leporina,0,3020.021,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,6X8NU9XG
