PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Astrocaryum jauari,Myloplus asterias,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Myloplus asterias,1,NA,3.5,Cocoseae,Arecoideae,COLOMBIA,CLM,6WBPN3MQ
Astrocaryum jauari,Myloplus rubripinnis,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Myloplus rubripinnis,1,NA,3.5,Cocoseae,Arecoideae,COLOMBIA,CLM,6WBPN3MQ
Astrocaryum jauari,Myloplus torquatus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Myloplus torquatus,1,NA,3.5,Cocoseae,Arecoideae,COLOMBIA,CLM,6WBPN3MQ
Astrocaryum jauari,Oxydoras niger,FISH,Doraridae,Neotropics,Astrocaryum jauari_Oxydoras niger,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Paulicea lutkeni,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Paulicea lutkeni,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Paulicea lutkeni,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Paulicea lutkeni,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Phractocephalus hemiliopterus,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Phractocephalus hemiliopterus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Phractocephalus hemiliopterus,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Phractocephalus hemiliopterus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,AET8XMTR
Astrocaryum jauari,Phractocephalus hemiliopterus,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Phractocephalus hemiliopterus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Phractocephalus hemiliopterus,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Phractocephalus hemiliopterus,0,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Phractocephalus hemiliopterus,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Phractocephalus hemiliopterus,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,SIJRE2S6
Astrocaryum jauari,Piaractus brachypomus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Piaractus brachypomus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Piaractus brachypomus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Piaractus brachypomus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,6WBPN3MQ
Astrocaryum jauari,Pimelodella,FISH,Pimelodidae,Neotropics,Astrocaryum jauari_Pimelodella,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Pterodoras granulosus,FISH,Doraridae,Neotropics,Astrocaryum jauari_Pterodoras granulosus,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Rhamdia schomburgkii,FISH,Heptateridae,Neotropics,Astrocaryum jauari_Rhamdia schomburgkii,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Rhamdia schomburgkii,FISH,Heptateridae,Neotropics,Astrocaryum jauari_Rhamdia schomburgkii,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Rhamdia schomburgkii,FISH,Heptateridae,Neotropics,Astrocaryum jauari_Rhamdia schomburgkii,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Sciurus igniventris,MAMMAL,Sciuridae,Neotropics,Astrocaryum jauari_Sciurus igniventris,1,700.003,3.5,Cocoseae,Arecoideae,PERU,PER,88CKBQ8M
Astrocaryum jauari,Semaprochilodus,FISH,Prochilodontidae,Neotropics,Astrocaryum jauari_Semaprochilodus,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Serrasalmus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Serrasalmus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Serrasalmus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Serrasalmus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,FH6G8ZUD
Astrocaryum jauari,Serrasalmus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Serrasalmus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Serrasalmus rhombeus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Serrasalmus rhombeus,0,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Serrasalmus rhombeus,FISH,Serrasalmidae,Neotropics,Astrocaryum jauari_Serrasalmus rhombeus,1,NA,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum jauari,Tocantisia piresi,FISH,Auchnipteridae,Neotropics,Astrocaryum jauari_Tocantisia piresi,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum jauari,Triportheus,FISH,Characidae,Neotropics,Astrocaryum jauari_Triportheus,1,NA,3.5,Cocoseae,Arecoideae,BRAZIL,BZN,XWABHQ2V
Astrocaryum macrocalyx,Proechimys brevicauda,MAMMAL,Echimyidae,Neotropics,Astrocaryum macrocalyx_Proechimys brevicauda,1,284.997,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum macrocalyx,Proechimys cuvieri,MAMMAL,Echimyidae,Neotropics,Astrocaryum macrocalyx_Proechimys cuvieri,1,329.997,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum macrocalyx,Proechimys longicaudatus,MAMMAL,Echimyidae,Neotropics,Astrocaryum macrocalyx_Proechimys longicaudatus,1,204.998,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum macrocalyx,Proechimys pattoni,MAMMAL,Echimyidae,Neotropics,Astrocaryum macrocalyx_Proechimys pattoni,1,290.54745,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum macrocalyx,Proechimys simonsi,MAMMAL,Echimyidae,Neotropics,Astrocaryum macrocalyx_Proechimys simonsi,1,284.997,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum macrocalyx,Proechimys steerei,MAMMAL,Echimyidae,Neotropics,Astrocaryum macrocalyx_Proechimys steerei,1,284.997,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum macrocalyx,Sciurus spadiceus,MAMMAL,Sciuridae,Neotropics,Astrocaryum macrocalyx_Sciurus spadiceus,1,403.33,8,Cocoseae,Arecoideae,PERU,PER,JV3X7IEA
Astrocaryum mexicanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum mexicanum_Dasyprocta punctata,1,2674.977,3.5,Cocoseae,Arecoideae,BRAZIL,BZE,XF8TR5C7
Astrocaryum mexicanum,Didelphis marsupialis,MAMMAL,Didelphidae,Neotropics,Astrocaryum mexicanum_Didelphis marsupialis,1,1091.164,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Handleyomys alfaroi,MAMMAL,Cricetidae,Neotropics,Astrocaryum mexicanum_Handleyomys alfaroi,1,33.3,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,BELIZE,BLZ,4MTD7D6N
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,BELIZE,BLZ,5K2ARV99
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,BELIZE,BLZ,79QXRWTK
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,BELIZE,BLZ,7TIDP9ZS
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,BELIZE,BLZ,8X66Q2DC
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,BELIZE,BLZ,DSVFRJ67
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,0,72.5,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum mexicanum_Heteromys desmarestianus,1,72.5,3.5,Cocoseae,Arecoideae,BRAZIL,BZE,XF8TR5C7
Astrocaryum mexicanum,Peromyscus mexicanus,MAMMAL,Cricetidae,Neotropics,Astrocaryum mexicanum_Peromyscus mexicanus,1,32.6,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Procyon lotor,MAMMAL,Procyonidae,Neotropics,Astrocaryum mexicanum_Procyon lotor,1,4724.9615,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Sciurus aureogaster,MAMMAL,Sciuridae,Neotropics,Astrocaryum mexicanum_Sciurus aureogaster,0,595.004,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum mexicanum,Sciurus aureogaster,MAMMAL,Sciuridae,Neotropics,Astrocaryum mexicanum_Sciurus aureogaster,0,595.004,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Sciurus aureogaster,MAMMAL,Sciuridae,Neotropics,Astrocaryum mexicanum_Sciurus aureogaster,1,595.004,3.5,Cocoseae,Arecoideae,MEXICO,MXG,V9J9HAG9
Astrocaryum mexicanum,Sciurus deppei,MAMMAL,Sciuridae,Neotropics,Astrocaryum mexicanum_Sciurus deppei,0,189.998,3.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum mexicanum,Sciurus deppei,MAMMAL,Sciuridae,Neotropics,Astrocaryum mexicanum_Sciurus deppei,0,189.998,3.5,Cocoseae,Arecoideae,MEXICO,MXG,P79TKKNN
Astrocaryum mexicanum,Sciurus deppei,MAMMAL,Sciuridae,Neotropics,Astrocaryum mexicanum_Sciurus deppei,1,189.998,3.5,Cocoseae,Arecoideae,MEXICO,MXG,V9J9HAG9
Astrocaryum murumuru,Chelonoidis denticulata,REPTILES,Testudinidae,Neotropics,Astrocaryum murumuru_Chelonoidis denticulata,1,7473.96,7.25,Cocoseae,Arecoideae,PERU,PER,VEIJ9UNS
Astrocaryum murumuru,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum murumuru_Dasyprocta punctata,0,2674.977,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum murumuru_Dasyprocta punctata,1,2674.977,7.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum murumuru,Lithodoras dorsalis,FISH,Doraridae,Neotropics,Astrocaryum murumuru_Lithodoras dorsalis,1,NA,7.25,Cocoseae,Arecoideae,NA,NA,6WBPN3MQ
Astrocaryum murumuru,Proechimys brevicauda,MAMMAL,Echimyidae,Neotropics,Astrocaryum murumuru_Proechimys brevicauda,1,284.997,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Proechimys cuvieri,MAMMAL,Echimyidae,Neotropics,Astrocaryum murumuru_Proechimys cuvieri,1,329.997,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Proechimys longicaudatus,MAMMAL,Echimyidae,Neotropics,Astrocaryum murumuru_Proechimys longicaudatus,1,204.998,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Proechimys pattoni,MAMMAL,Echimyidae,Neotropics,Astrocaryum murumuru_Proechimys pattoni,1,290.54745,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Proechimys simonsi,MAMMAL,Echimyidae,Neotropics,Astrocaryum murumuru_Proechimys simonsi,1,284.997,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Proechimys steerei,MAMMAL,Echimyidae,Neotropics,Astrocaryum murumuru_Proechimys steerei,1,284.997,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Rhinoclemys punctularia,REPTILES,Geoemydidae,Neotropics,Astrocaryum murumuru_Rhinoclemys punctularia,1,930,7.25,Cocoseae,Arecoideae,NA,NA,6WBPN3MQ
Astrocaryum murumuru,Sapajus apella,MAMMAL,Cebidae,Neotropics,Astrocaryum murumuru_Sapajus apella,0,2500,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sapajus apella,MAMMAL,Cebidae,Neotropics,Astrocaryum murumuru_Sapajus apella,1,2500,7.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum murumuru,Sciurillus pusillus,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurillus pusillus,1,39,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sciurus ignitus,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus ignitus,1,189.998,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sciurus igniventris,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus igniventris,0,700.003,7.25,Cocoseae,Arecoideae,PERU,PER,88CKBQ8M
Astrocaryum murumuru,Sciurus igniventris,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus igniventris,1,700.003,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sciurus pyrrhinus,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus pyrrhinus,1,482.003,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sciurus sanborni,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus sanborni,1,136,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sciurus spadiceus,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus spadiceus,0,403.33,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Sciurus spadiceus,MAMMAL,Sciuridae,Neotropics,Astrocaryum murumuru_Sciurus spadiceus,1,403.33,7.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum murumuru,Tapirus terrestris,MAMMAL,Tapiridae,Neotropics,Astrocaryum murumuru_Tapirus terrestris,0,207500.907,7.25,Cocoseae,Arecoideae,PERU,PER,PR97BIQN
Astrocaryum murumuru,Tapirus terrestris,MAMMAL,Tapiridae,Neotropics,Astrocaryum murumuru_Tapirus terrestris,1,207500.907,7.25,Cocoseae,Arecoideae,PERU,PER,ZGG28TDB
Astrocaryum murumuru,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Astrocaryum murumuru_Tayassu pecari,0,32233.688,7.25,Cocoseae,Arecoideae,PERU,PER,47WBFACH
Astrocaryum murumuru,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Astrocaryum murumuru_Tayassu pecari,0,32233.688,7.25,Cocoseae,Arecoideae,BRAZIL,BZL,4GZW769B
Astrocaryum murumuru,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Astrocaryum murumuru_Tayassu pecari,0,32233.688,7.25,Cocoseae,Arecoideae,PERU,PER,8H7HXSMW
Astrocaryum murumuru,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Astrocaryum murumuru_Tayassu pecari,1,32233.688,7.25,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum paramaca,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum paramaca_Dasyprocta leporina,1,3020.021,3.75,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum paramaca,Myoprocta acouchy,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum paramaca_Myoprocta acouchy,0,599.998,3.75,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum paramaca,Myoprocta acouchy,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum paramaca_Myoprocta acouchy,1,599.998,3.75,Cocoseae,Arecoideae,BRAZIL,BZE,XF8TR5C7
Astrocaryum paramaca,Proechimys cuvieri,MAMMAL,Echimyidae,Neotropics,Astrocaryum paramaca_Proechimys cuvieri,1,329.997,3.75,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum paramaca,Proechimys guyannensis,MAMMAL,Echimyidae,Neotropics,Astrocaryum paramaca_Proechimys guyannensis,1,316.002,3.75,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum paramaca,Sciurus aestuans,MAMMAL,Sciuridae,Neotropics,Astrocaryum paramaca_Sciurus aestuans,1,184.999,3.75,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum sciophilum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum sciophilum_Dasyprocta leporina,1,3020.021,6.5,Cocoseae,Arecoideae,FRENCH GUIANA,FRG,Q4TQ63TI
Astrocaryum sciophilum,Myoprocta acouchy,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum sciophilum_Myoprocta acouchy,1,599.998,6.5,Cocoseae,Arecoideae,FRENCH GUIANA,FRG,Q4TQ63TI
Astrocaryum sciophilum,Sciurus aestuans,MAMMAL,Sciuridae,Neotropics,Astrocaryum sciophilum_Sciurus aestuans,1,184.999,6.5,Cocoseae,Arecoideae,FRENCH GUIANA,FRG,Q4TQ63TI
Astrocaryum standleyanum,Ateles belzebuth,MAMMAL,Atelidae,Neotropics,Astrocaryum standleyanum_Ateles belzebuth,1,5000,5.5,Cocoseae,Arecoideae,ECUADOR,ECU,8XCJW99Q
Astrocaryum standleyanum,Ateles geoffroyi,MAMMAL,Atelidae,Neotropics,Astrocaryum standleyanum_Ateles geoffroyi,0,5284.939,5.5,Cocoseae,Arecoideae,PANAMA,PAN,4KMEVUZQ
Astrocaryum standleyanum,Ateles geoffroyi,MAMMAL,Atelidae,Neotropics,Astrocaryum standleyanum_Ateles geoffroyi,1,5284.939,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Caluromys derbianus,MAMMAL,Didelphidae,Neotropics,Astrocaryum standleyanum_Caluromys derbianus,1,297.002,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Cebus capucinus,MAMMAL,Cebidae,Neotropics,Astrocaryum standleyanum_Cebus capucinus,0,2733.317,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Cebus capucinus,MAMMAL,Cebidae,Neotropics,Astrocaryum standleyanum_Cebus capucinus,1,2733.317,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Cuniculus paca,MAMMAL,Cuniculidae,Neotropics,Astrocaryum standleyanum_Cuniculus paca,1,8000,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,AM89SVWG
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,H5QQ9QUC
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,KRZVWJXE
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,M75M6FNA
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,VWVCB86N
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,WX5X247X
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,0,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,XRUQKW58
Astrocaryum standleyanum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum standleyanum_Dasyprocta punctata,1,2674.977,5.5,Cocoseae,Arecoideae,PANAMA,PAN,XXJH2X35
Astrocaryum standleyanum,Didelphis marsupialis,MAMMAL,Didelphidae,Neotropics,Astrocaryum standleyanum_Didelphis marsupialis,1,1091.164,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Heteromys desmarestianus,MAMMAL,Heteromyidae,Neotropics,Astrocaryum standleyanum_Heteromys desmarestianus,1,72.5,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Nasua narica,MAMMAL,Procyonidae,Neotropics,Astrocaryum standleyanum_Nasua narica,1,4030.046,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Nasua nasua,MAMMAL,Procyonidae,Neotropics,Astrocaryum standleyanum_Nasua nasua,1,3793.849,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Pecari tajacu,MAMMAL,Tayassuidae,Neotropics,Astrocaryum standleyanum_Pecari tajacu,1,21266.695,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Philander opossum,MAMMAL,Didelphidae,Neotropics,Astrocaryum standleyanum_Philander opossum,1,585.499,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Potamocarcinus richmondi,MALACOSTRACA,Pseudothelphusidae,Neotropics,Astrocaryum standleyanum_Potamocarcinus richmondi,1,NA,5.5,Cocoseae,Arecoideae,PANAMA,PAN,XXJH2X35
Astrocaryum standleyanum,Potos flavus,MAMMAL,Procyonidae,Neotropics,Astrocaryum standleyanum_Potos flavus,1,3000,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,PANAMA,PAN,4GG45UKC
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,PANAMA,PAN,M75M6FNA
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,PANAMA,PAN,VWVCB86N
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,PANAMA,PAN,WX5X247X
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,0,284.997,5.5,Cocoseae,Arecoideae,BRAZIL,BZE,XF8TR5C7
Astrocaryum standleyanum,Proechimys semispinosus,MAMMAL,Echimyidae,Neotropics,Astrocaryum standleyanum_Proechimys semispinosus,1,284.997,5.5,Cocoseae,Arecoideae,PANAMA,PAN,XXJH2X35
Astrocaryum standleyanum,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Astrocaryum standleyanum_Sciurus granatensis,0,250,5.5,Cocoseae,Arecoideae,PANAMA,PAN,44HW74RT
Astrocaryum standleyanum,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Astrocaryum standleyanum_Sciurus granatensis,0,250,5.5,Cocoseae,Arecoideae,PANAMA,PAN,8D6J2KK3
Astrocaryum standleyanum,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Astrocaryum standleyanum_Sciurus granatensis,0,250,5.5,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum standleyanum,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Astrocaryum standleyanum_Sciurus granatensis,0,250,5.5,Cocoseae,Arecoideae,COSTA RICA,COS,KKAVXIWV
Astrocaryum standleyanum,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Astrocaryum standleyanum_Sciurus granatensis,0,250,5.5,Cocoseae,Arecoideae,PANAMA,PAN,WX5X247X
Astrocaryum standleyanum,Sciurus granatensis,MAMMAL,Sciuridae,Neotropics,Astrocaryum standleyanum_Sciurus granatensis,1,250,5.5,Cocoseae,Arecoideae,PANAMA,PAN,XXJH2X35
